card1,card2,card3,card4,card5,card6,result
JD,KH,7S,QD,KC,AD,win
6S,QD,AS,7H,8D,7S,loss
TD,6D,TC,AS,7H,KD,loss
KS,9H,QD,QH,6S,TH,loss
KC,6D,9C,QH,9H,KD,loss
JH,TC,8C,7H,KH,JD,loss
QD,9C,6H,KC,7C,TH,loss
TH,8H,8D,JS,6D,JH,win
6H,AH,QC,TH,KH,AC,loss
8S,8H,QC,JS,9S,AD,loss
AD,TS,6C,6D,7C,JC,loss
8C,JH,7H,7S,AD,8H,win
9C,6S,KH,AS,QH,JD,loss
QC,QH,JS,AD,KC,8H,win
KD,JD,7S,8S,8D,KH,win
6H,AS,KS,7S,6D,7C,win
TS,AS,JS,9D,JH,QH,loss
KC,9H,9C,AS,AH,AC,win
KH,8H,6D,8S,7S,QD,loss
QS,TD,7D,6S,JC,8S,loss
KS,TS,8S,6C,6D,TD,win
QS,JS,9H,QD,TC,TD,loss
7S,9S,TH,8S,TS,6D,win
QS,9C,KS,TH,JH,8C,win
AD,AC,6S,6H,TD,KH,win
9D,8D,8H,TH,6C,AH,win
TS,9H,AC,AD,8C,KH,loss
QC,KS,AH,8D,AD,TH,loss
9S,6D,TS,JD,KH,QH,win
KC,7C,KD,AC,AS,QH,win
JC,9S,TC,TS,6S,7C,loss
JH,6S,6C,TH,7D,JD,win
QC,9D,QH,AD,JC,6H,win
8S,6D,7S,JC,9S,6H,loss
7D,6C,8S,JS,KS,6H,loss
KH,JS,TC,8S,9S,AC,win
8H,JD,7S,7H,TS,QH,loss
8H,JC,8D,7S,TH,TC,win
7C,8C,9C,QH,QS,7H,win
AC,QD,8D,7S,6H,9D,loss
TD,TC,AD,9C,8C,8S,loss
7D,8S,JH,TC,TS,9D,win
KC,TD,TC,8H,8C,AH,win
6S,9C,9D,6D,JD,7H,loss
AH,8D,7C,TD,9H,7H,win
QH,7C,TH,8C,9C,TD,win
6S,QD,7S,6D,KH,QH,win
8D,6H,JC,7D,9H,8H,loss
KC,QC,KH,TD,KS,6S,loss
TD,9D,QD,TH,QC,9H,win
KD,7D,QD,TH,AS,6D,loss
6S,6D,QH,JS,JH,KH,loss
7S,7C,9D,TC,AH,KS,win
JD,8C,TH,9D,7D,JC,win
6S,KS,7S,9H,AD,KH,win
KC,QD,TD,8D,9C,7S,loss
6S,7H,QH,6H,8S,9H,loss
TD,7H,6C,8C,KD,7D,win
QC,TD,9C,TH,7S,9H,win
JS,AC,7S,9C,8S,TH,win
JC,6S,9D,AS,QD,KS,loss
AH,9D,JD,7S,6S,7H,loss
QS,AD,7S,9S,TH,6D,loss
TD,TS,7D,6D,KD,AC,win
6S,JC,8H,6H,9C,KH,win
QD,KH,8S,8C,TC,7D,win
9S,QC,8H,JS,7S,9D,loss
6D,6S,KS,JH,7C,KC,win
TD,6D,KH,QC,JS,7S,loss
KD,JC,QS,TD,QH,9H,win
9H,QS,6D,8H,6H,QC,loss
6C,QS,TS,6S,TH,QC,loss
8H,QD,8D,7D,7C,7H,win
QC,QD,TD,AS,9H,9C,win
TH,6C,AS,QS,8H,8D,win
8H,TC,6D,TS,6S,KD,loss
8H,7H,6D,9S,9C,7S,loss
AH,7D,8H,6C,AD,7S,loss
TD,JC,QC,QS,6C,8H,loss
TD,KS,TC,8S,7D,QC,win
TS,9C,QH,8S,KD,9D,win
QC,9C,9D,8C,6D,JS,win
9H,6C,AH,7S,7D,AD,loss
KS,6H,9S,QS,8C,6D,win
KH,6H,7S,8S,QS,8D,loss
JH,AD,KC,7D,TS,JC,win
9C,QC,KC,7H,7S,9H,loss
9C,8C,9H,AS,JC,7C,win
9H,TC,AS,QD,KS,6D,loss
KH,9D,JS,7C,7H,8S,win
KH,AC,8H,8D,6H,7C,loss
TC,8H,TS,6C,8C,AS,win
TH,9C,JC,9H,6C,KH,loss
JC,8D,9H,KD,JD,6D,win
6C,8S,QC,7S,6H,TC,loss
7C,6D,7H,TS,JS,QH,win
JD,QD,AS,QH,8H,AD,loss
JC,9S,QC,9H,8D,8H,win
8H,8S,QH,TD,KC,KD,win
QD,6D,AH,9S,7S,9C,loss
AD,9S,KS,AS,8C,QD,win
9H,9C,7H,TS,JS,7S,loss
TS,6C,TD,7H,AS,JC,loss
6C,JH,KS,AC,QH,9D,win
AD,7H,QH,TD,8S,6S,win
AS,JD,7C,KD,8D,JH,win
9C,8S,QC,7H,6D,TD,win
JD,QS,8S,QC,JC,6C,win
QD,8D,6D,JC,JD,TH,win
AH,9D,6H,7D,KC,8C,loss
8S,JS,8D,JH,AD,6D,win
QS,AD,9D,6S,KS,TS,loss
6D,JC,8H,AS,9C,TD,loss
8D,KS,6C,6D,6H,KC,win
QC,AC,7D,7H,8H,KD,loss
KC,7D,KH,8S,JH,7S,win
8S,JS,8C,KH,TS,9C,loss
9C,6D,QD,8S,AH,7H,win
9D,TD,8S,JD,6C,9S,loss
6D,QH,QS,JC,QC,8D,win
QH,JH,TS,8H,KH,9D,win
TS,6H,7S,KD,QD,AD,loss
TD,8S,QD,KS,6D,JC,loss
8D,QS,6C,TH,JS,JC,loss
QS,8H,TC,TH,9D,QD,win
TS,6D,7H,8D,8C,QS,loss
QS,6C,7D,AD,QH,QC,win
AC,KC,9C,6S,JH,TD,loss
KC,TS,QH,6C,9H,TC,win
KD,6H,AS,7H,KS,JD,win
7C,QD,6S,6D,8S,KH,loss
8S,9D,KC,8H,QD,6D,win
9D,QC,8S,AS,TS,QD,win
9D,JS,TH,KH,7H,6S,loss
6S,QC,8H,9S,JS,8D,loss
TH,9D,JD,TC,7S,6D,loss
QC,TS,KH,JH,9H,9S,loss
7H,AD,KH,9C,JS,QD,loss
AS,JD,QD,9H,TC,JC,loss
QS,QD,8D,TD,QC,8H,win
AS,6H,JS,8C,6D,8S,win
9C,TS,AH,6H,KS,KC,loss
TS,7C,TD,JC,QH,KC,loss
8D,6D,6C,TH,7D,AS,loss
JS,6S,7C,TC,7D,KS,win
AC,8C,TC,7C,8D,KH,loss
KD,KH,6H,KS,JS,7D,win
9H,KD,KH,7S,QS,AS,win
AD,7H,6S,8H,TD,7S,win
9H,KS,9D,8H,KH,TS,win
6C,AD,KD,8C,KH,JD,win
7S,8S,7D,KS,9H,6S,loss
AC,TD,9D,9C,TS,7H,win
TS,AC,KS,8S,6D,TC,win
7S,9C,7D,QS,AS,TH,loss
7C,QH,TC,JS,6H,QD,loss
9H,6S,7C,TD,KD,QH,loss
JS,QH,JD,QC,8D,8S,loss
6D,AD,9S,QH,JH,KS,win
8C,9D,KS,AS,QD,JS,loss
6H,9D,7D,KS,JC,7H,loss
9H,8H,JC,TS,QC,TH,win
8C,JS,7H,6D,AC,KD,loss
8D,TS,KC,QD,8C,9S,loss
8D,JS,9H,KD,JH,8H,loss
JS,QC,KH,6S,9C,9H,loss
9C,7C,JD,KS,9H,AS,loss
TH,6S,7C,TD,7S,8H,win
AD,7C,KC,QD,8D,9S,loss
7C,7D,KS,TS,KC,6S,loss
JD,TS,AD,6D,TH,8D,win
8D,JC,8H,7S,9C,9D,win
9C,9S,6D,6S,KC,TH,loss
9C,TD,6H,TH,6S,AS,win
9S,7C,9D,JD,8D,6H,win
AH,KC,9H,8H,QC,JS,win
KC,QD,8S,9H,8D,6H,loss
8S,6C,JH,6H,AC,AD,loss
QD,6S,TH,7H,JH,6D,win
TD,6H,9D,AC,9C,TS,win
AH,6H,TS,TH,6D,7C,win
9H,TH,AC,8C,JD,6C,loss
8D,KH,7S,TC,JD,KS,loss
6S,TD,AC,QH,9C,JD,win
QD,AH,KH,QC,TS,8S,win
TD,7D,KH,QC,QS,9S,loss
9S,8S,7S,AC,9C,KC,loss
TC,6C,8C,TD,8S,QC,win
KD,JS,TH,9H,AD,QH,loss
QH,KC,KD,QC,8C,TH,loss
8D,9C,7H,KS,9D,QS,loss
JD,QH,JS,AH,JH,9C,win
AD,KC,JD,8H,QD,8D,loss
KH,8S,AH,TD,AC,JC,loss
JD,6C,TS,KD,9C,AC,loss
8S,6H,JC,9D,8D,QH,loss
AS,QC,AH,6C,AC,KH,win
KH,6H,7C,QC,JC,8S,loss
QC,8H,7S,QS,6C,TC,loss
KH,6C,6H,KD,AC,9H,win
QC,7C,KC,9S,7D,JS,loss
9H,6C,KS,QC,AC,9D,loss
6H,KH,8S,9C,7H,6S,win
6C,KH,8C,KS,QD,7S,win
9D,KS,8S,7H,JC,7C,loss
9D,7D,JS,AD,KD,TD,win
6S,KS,QH,TD,AH,9C,loss
QS,AS,8S,6H,8D,TH,loss
KH,9H,AC,8S,TH,6C,loss
6H,6D,TH,9S,AC,AD,win
8H,TS,7H,JS,QD,9C,win
AS,8H,TS,KH,AC,JH,win
AC,7C,TC,QD,9D,6S,win
QC,8D,KD,AS,AD,7H,loss
9H,6S,JD,9D,7D,7S,loss
AH,TS,9S,QC,6S,QH,loss
6C,KD,AH,9C,6D,KC,win
AD,8C,TC,6H,AC,8H,win
TC,7H,QS,KH,AD,QC,win
KC,8S,9D,TS,9H,JS,loss
6S,8C,QH,9D,7H,7C,loss
9S,QD,KC,TH,6S,AS,win
JH,JC,AC,8H,JS,KH,win
QC,TH,AH,QS,TS,KS,win
8S,9S,8C,TS,QS,7D,win
TD,8S,JD,6D,KH,AH,loss
8D,9D,AH,6C,JC,TD,loss
8S,8C,QS,KC,KS,8D,win
7D,QS,9H,KS,JC,QC,loss
6S,AC,7H,QD,KS,8C,loss
QH,AC,7C,QC,9S,AH,win
TD,TS,9D,TC,JD,QS,win
KD,9D,QC,9S,7H,JC,win
KD,7H,8H,TC,9S,QH,loss
TS,TH,8H,JD,QH,KS,win
KS,QD,JC,JD,JS,9D,loss
9H,7D,7C,TC,KD,KC,loss
AD,9S,JC,9D,KS,6D,loss
TS,6D,QD,JD,7H,JH,loss
KS,TH,AC,KD,8D,AS,win
6C,8D,AD,7D,KD,6D,win
8S,TH,JD,AS,9H,6H,loss
8D,7C,QD,9H,8H,7S,loss
KS,TH,JS,9D,9S,KC,win
QC,TS,8C,AC,TH,KD,win
TH,JH,TD,KS,AH,QH,win
7C,8H,KD,QH,QC,AC,loss
8S,9D,KC,AS,AD,8C,win
6C,KH,QC,9C,TD,7H,win
7D,7C,8S,QS,9S,6S,loss
6D,9H,7H,TC,6C,QS,loss
KD,7H,KC,TD,QS,AC,loss
KD,KH,6C,6H,AH,QH,win
8D,KD,7D,9S,9D,8S,loss
JC,8D,6H,AC,9S,KC,loss
KC,7H,KS,JS,8C,TC,win
QH,6D,AC,8S,8D,6H,loss
9D,JS,7D,JH,7H,KC,loss
TS,7S,6H,6D,TC,7H,win
6C,7H,QH,9H,8C,TD,win
KD,6C,AD,TD,TS,6D,win
QH,AS,AD,AH,6S,KS,win
7S,7C,8C,JC,TD,AS,win
TD,7D,JC,7H,6S,7S,win
JS,7H,7S,6D,AC,9D,loss
JH,9H,AH,AC,KS,7D,loss
QS,8S,AD,KH,JD,AC,loss
8C,AH,QS,QH,9S,KH,loss
QH,KS,KD,QS,KH,7H,win
KH,7C,TH,JC,7S,QS,loss
AD,6S,KS,QS,7C,8H,loss
8D,TS,6D,AS,AD,7D,win
QD,8H,KC,TC,AH,JS,win
AC,9S,7C,AH,8D,KS,loss
QD,8H,7S,8D,7C,8S,win
KS,AH,KH,JC,QH,TS,win
QS,JC,7S,9D,9S,KH,win
9D,AS,8C,TC,AC,6S,loss
7D,8S,TD,TH,JD,JS,win
JC,6D,8C,QS,9H,KH,win
6D,6H,QD,TH,AC,QH,win
JD,8D,8H,QS,KD,KC,win
QS,7S,JS,QH,9C,KS,loss
6C,AS,KC,8H,JC,TC,win
6S,7D,6D,KD,AS,9D,loss
7D,6D,7C,7S,AD,8D,win
7D,6D,8C,TS,AS,9D,win
QH,7H,9H,JS,9C,AH,win
7C,6D,7S,JH,6H,TC,win
7S,7C,6H,7H,8H,JC,win
QS,QD,AC,TS,JH,KD,win
QC,TH,9H,AS,JS,KD,win
6S,8C,7H,QH,6D,AS,win
8S,6D,6S,JC,7D,TS,win
6C,6D,QH,KH,TC,KC,loss
9D,AS,QD,9C,6D,TH,win
8S,TD,AS,8C,KH,QH,loss
KD,AS,JS,QH,6C,TD,win
7C,6D,TD,8D,7H,6C,win
KC,7S,8D,TH,KS,9D,win
KH,TH,9S,9H,8C,QC,loss
KC,JH,AD,JC,8S,8H,win
AS,JS,AD,JC,6C,QD,loss
TC,AS,AH,6S,8S,KS,win
7C,9S,KH,9H,TC,6S,win
TD,9S,AH,JS,QC,KC,win
KS,QH,6S,9H,QD,6H,loss
TH,7S,KS,9H,TC,7H,loss
TC,TH,QD,QC,KC,AD,win
8C,KH,QC,AH,KD,9S,win
QS,8S,7H,8C,QD,9H,win
QD,AD,JH,6S,9D,7D,win
QD,7H,TC,QC,JH,8H,loss
6H,TS,9D,6S,7D,KH,win
9C,JS,6S,AD,KC,JC,win
AS,AC,7C,9S,TH,JS,loss
9S,AD,7D,9H,AS,KS,win
AD,9C,QH,7H,8S,6C,win
JC,TS,6S,AS,QD,7S,loss
9D,6H,6C,7C,QD,KS,win
8C,AD,6H,TC,9C,KC,loss
JH,JS,7C,AH,9D,JC,win
TD,9H,TH,9S,AS,JH,win
KC,9D,TD,QD,6H,8C,loss
8S,KS,JS,TD,KH,QC,loss
KD,QH,QC,JD,9C,6C,win
TC,KD,8S,KH,8H,AH,win
6D,7D,QS,JD,AS,KC,loss
KH,TS,9H,JS,8S,7C,win
8H,8C,QS,7C,JC,KC,win
TH,8C,KS,QD,9H,7S,loss
7S,TS,9S,9H,QS,TC,loss
QH,7D,QC,KS,8D,TH,win
AD,AC,6C,6D,9C,AS,win
AD,9C,7C,KS,8S,TC,win
7D,JS,KD,6D,7H,8S,loss
KC,8S,JS,QH,7C,AC,loss
6S,KH,JH,7H,6H,7C,loss
KS,6D,TC,6C,JS,8C,loss
TD,8C,8H,9S,9C,TH,win
TH,AD,KD,8C,6D,AS,win
KC,KS,AS,9C,KD,JD,win
7S,AS,TC,AC,8D,KH,loss
QH,KS,TC,KD,AH,QD,win
9D,7D,QH,TC,8H,TD,loss
QD,AH,7C,6C,8C,7H,loss
JD,6H,JS,9S,8D,6D,win
QS,QC,8C,6S,JS,8H,loss
7S,8S,QD,JD,QC,7D,loss
8S,AC,TC,AS,7S,QH,loss
7H,7C,6C,TC,9C,QD,win
JS,9C,8S,JC,8D,7D,win
8D,QC,JD,KH,6D,TC,loss
QD,AS,QH,KH,TS,9C,loss
8H,9S,7C,TC,AD,8D,win
7D,9C,JD,QD,QH,KH,win
JS,AC,7D,7S,6S,QC,loss
6H,JD,JC,AS,QC,QH,loss
8C,KH,JS,JD,AD,9S,win
JC,9S,6S,AS,6H,TC,win
QC,6C,KC,8H,AD,7H,loss
QC,8S,9D,KH,TH,AD,loss
7S,AH,8S,QD,9H,KC,win
KD,KS,QS,7C,AH,7D,loss
7H,KH,7S,AS,8H,9C,loss
KD,QC,8H,JC,6C,AH,win
AD,9H,QD,9S,QC,8S,win
8H,7S,AC,9S,JC,TS,loss
JH,AC,JS,QC,TH,6C,win
7D,KS,9S,AH,KD,6D,win
JH,8D,7H,8C,AH,TD,win
TD,KC,JD,QS,AH,8D,win
KS,9S,JS,6H,6S,AS,win
AC,6C,TD,7H,JD,KC,loss
JS,9H,6S,9D,TS,AS,loss
AS,7D,AH,QS,6C,7H,win
8C,7C,JH,8S,KS,9C,win
QS,7S,6D,9D,6H,AC,loss
8C,7C,6D,QD,KS,KD,loss
7S,7H,8C,AS,QD,9D,loss
6S,9D,8C,7S,QD,TH,win
6S,AH,JH,KS,7D,7C,loss
QD,TC,8H,9C,JH,8S,loss
TH,6H,8H,TS,6S,8S,loss
QH,JC,QS,9D,KS,7S,win
8D,6H,KH,TS,7H,QC,loss
JS,9S,8D,QC,AH,7H,loss
9D,9S,6C,8S,TS,TD,win
JC,JD,8D,JS,9S,QS,win
QD,9D,7S,6S,AD,9H,win
KD,QH,7H,TC,QD,TD,win
KC,TD,6C,QC,AS,QS,win
TS,8H,QD,6C,7H,8D,win
7D,6D,8H,JH,8S,TS,win
AD,6D,AH,QC,QH,6C,win
8C,6D,QS,AS,JD,8D,win
8C,AD,JD,7S,7D,9D,win
9D,9H,JS,9C,8S,6S,win
QH,TC,QD,JH,8H,AS,win
8S,TS,6S,6D,KD,7D,loss
8D,TH,JH,6H,AD,KD,loss
AD,8C,JH,6S,AH,KH,win
JH,8D,9D,KS,8C,JS,win
TD,QH,AS,KH,JS,9C,loss
TH,8D,JC,8C,6C,JH,win
7H,7C,QS,6C,JH,8H,loss
KC,7D,JC,9D,9C,TD,loss
JC,9S,8D,KD,6D,6H,win
TS,QC,KD,7S,6D,JS,win
JH,TH,7D,KH,6D,8C,loss
JC,6C,JS,8H,6S,KD,win
JS,8C,7H,AD,TC,QC,loss
KD,QD,QC,KS,TH,QS,win
7C,JH,QS,6C,KS,9C,loss
9H,7S,QD,AH,8H,AC,win
6C,AH,AD,9S,QD,KC,win
7S,JH,9C,AC,JC,AH,win
9C,6H,TH,JH,9D,JS,win
QS,7H,7S,6C,6S,AC,loss
QC,TS,JH,6H,QS,JD,win
QH,8S,AD,QD,AC,TD,win
8S,KS,JH,AH,6S,KC,win
8D,KD,8S,JS,6H,KC,win
JC,7S,9D,6C,KC,QS,loss
AD,QH,JD,8H,AC,7H,loss
JS,AS,6D,JH,6C,9D,loss
8D,QD,9H,QC,TD,JD,loss
QD,6D,8H,KC,JS,QS,loss
TD,9D,AS,JD,9S,AD,win
KC,KD,7D,JH,6S,9H,win
TS,JH,KS,KH,7C,JD,win
8H,7C,JD,TS,9C,7S,win
JD,JS,6S,TH,AS,8C,loss
9D,AH,TD,KS,9S,KC,loss
7H,KH,7D,QD,9H,TD,loss
JS,JC,TD,8S,TH,8H,loss
TD,7H,8S,7S,7D,8H,win
7S,6D,KD,9D,QS,TH,loss
JC,JS,QC,TS,6D,JD,win
KC,7H,KH,TD,QD,7C,loss
JS,KH,7H,TH,JC,9D,win
AD,KD,9C,8H,6S,9H,win
AS,QS,QH,8C,TH,7C,win
9D,QC,TC,8D,KD,QS,win
QD,9C,9H,TC,KC,AH,loss
AH,QS,AD,JC,KH,QH,win
9C,AS,TD,9S,AC,QC,loss
QD,6C,9S,QS,AH,TC,win
8S,QH,QS,JC,7C,KS,loss
7H,6D,AC,6S,AH,TC,win
AD,JH,KD,9H,TS,AH,loss
9D,6C,AH,KH,JS,TH,loss
7H,QD,6S,KC,KS,JH,loss
AH,8D,7C,TC,TD,TH,loss
JH,6D,AS,TS,9H,QC,loss
KD,JH,8S,JD,TH,6D,loss
9D,JC,KS,6S,6D,TD,loss
QH,7C,JH,6H,JD,KD,win
9D,9C,AH,7S,KC,6C,loss
AS,QC,7D,8D,9H,KC,loss
KH,7H,8S,6D,AS,7S,loss
KC,QH,8S,QS,9C,8H,loss
KD,9D,JH,AS,AC,6C,loss
6D,9H,AH,TD,JD,TC,loss
6S,KS,9S,8D,9C,QD,loss
AH,KC,JD,TS,AC,9S,loss
9S,TS,QC,JD,9C,8C,win
KH,KD,7C,JC,KC,QC,win
AH,7C,9D,JS,6H,7D,win
9D,KD,KC,6H,9C,TH,win
KH,AS,7D,8S,7C,AH,win
QS,JH,QC,TH,AS,8C,win
8C,6S,TS,JC,TC,7C,loss
7D,TD,9C,7C,9H,6D,win
8D,JC,JD,QD,9D,KS,win
QD,JC,TD,8S,9C,AH,win
TC,KD,JD,8D,TD,JC,loss
6S,7H,8H,JH,7D,AD,win
KS,JS,QS,KH,7D,QH,loss
TH,AC,9H,JH,6C,KC,win
6H,JC,9C,TD,AS,8S,win
7S,AH,7D,6H,6S,TS,win
8C,KH,QC,TS,JS,7D,loss
QH,KS,KC,6S,KH,7D,win
TC,AS,9S,8C,QS,7C,loss
6C,AH,7D,TC,8H,9S,win
KH,AH,6C,TS,KS,8S,loss
7H,JS,QC,AC,6C,AS,loss
QC,TC,AS,AH,JH,8D,loss
6D,JH,9D,6H,AC,TS,loss
TS,6S,QC,QS,7D,KH,loss
7S,8D,9D,KD,KH,TC,loss
KC,KS,TD,6H,JH,9D,win
QD,TS,8S,9C,6S,TC,win
7C,KD,9H,JH,QC,AD,loss
QS,JS,8D,6D,TD,AD,loss
7H,QD,7D,JS,QH,7C,win
QS,7D,KH,9D,9S,6C,loss
TS,6C,QH,6S,8C,KH,loss
KH,TD,TC,KD,7S,8S,win
TH,9H,QS,9S,7S,KC,win
9H,JS,KD,AS,6H,QH,loss
7D,AS,8S,KD,9C,TD,win
8C,QH,QC,JH,7D,TC,win
JS,6S,KC,KH,QC,AH,loss
KC,8H,TD,KS,JS,7S,loss
AC,6S,7C,8D,9S,7H,loss
8C,6C,6S,JH,TH,KC,loss
JC,AH,JH,QC,JD,TS,win
TH,7S,7C,KC,AD,AH,win
JH,AD,JC,KH,6H,7S,loss
QS,AD,JH,AC,8C,9C,loss
8C,JS,6D,6H,JC,AC,win
9H,TC,KS,JH,8D,7H,win
AD,AS,JS,9H,AH,JD,win
QC,8D,7C,AH,8C,6H,loss
KC,TD,7C,KD,7D,JD,win
7H,6H,TD,AH,JC,AD,win
6S,TH,AS,AH,7S,7D,loss
QC,8D,TC,AH,9S,7H,loss
9D,AS,9H,KD,KH,TH,loss
QC,9H,AH,TC,7H,8D,loss
AH,8S,AD,7D,JD,8D,win
KC,7C,9H,8H,JC,6H,loss
TH,AS,AH,TC,KD,TD,win
9D,8D,6C,JH,7S,7H,loss
AS,8S,JH,AH,8C,6H,win
QC,JS,QD,QH,8D,6D,win
QC,AH,TD,JC,8H,6D,loss
QH,9S,TH,8H,7H,JC,win
8C,AD,6D,8H,QS,JD,win
AS,9S,JD,9D,7H,6S,win
QC,7H,9H,TC,6D,KC,win
6S,QC,9S,QD,TD,KD,loss
7C,QC,TH,7H,9C,9H,loss
QC,KC,7S,KD,9C,QD,win
TD,KC,JH,7D,7S,QS,loss
7C,9C,7S,AH,QH,9H,loss
JD,7S,8D,KD,AD,9C,loss
9C,6C,AD,6D,KD,9D,win
9H,KS,AC,6S,TH,8C,win
9C,6C,KS,AD,KC,KD,loss
7S,QC,QH,KS,QS,9D,win
TS,6C,QH,7D,6H,8D,loss
AD,KC,TD,QD,TH,6C,win
TC,TD,9D,JC,KS,KH,win
AS,AC,JH,9D,6H,AD,loss
6D,TC,JS,TD,8D,KC,loss
9C,TC,JD,6D,8C,KD,loss
JD,TC,TS,9D,TH,9S,win
JH,7S,7H,TH,9S,6D,loss
JS,AD,QC,6C,6D,KC,win
7H,8C,TH,9C,KD,QC,loss
AD,6H,8S,AS,QC,KH,win
KD,8C,7C,KH,9D,QS,win
6D,7S,JH,TS,QH,8H,loss
9S,QS,JS,8H,KS,QH,win
7H,6C,8H,TH,TC,AH,loss
8H,6S,TH,8C,JC,AS,win
AS,QH,JH,AH,9H,6S,win
QS,JC,9D,TH,8H,KH,win
6C,8S,QC,9H,QH,8C,loss
QD,AC,JC,7S,TC,8H,loss
JC,8S,6S,QS,TC,9C,win
6D,9D,8D,JD,QC,AC,loss
AC,QH,8H,KS,9C,QC,loss
9H,8D,JC,7C,TD,JD,win
7C,QS,8H,9C,QH,KH,loss
KD,KS,AC,8H,QD,AS,win
QC,KC,KH,8H,9H,AC,loss
8H,7H,AH,9C,JC,TC,loss
TD,TC,6H,6C,8C,9C,win
8S,7C,7H,KC,QD,6C,win
6S,9D,9C,7H,AC,JH,loss
6C,KS,9D,QS,TS,8H,loss
QD,8S,JS,7H,AC,9C,loss
AD,8H,8C,7C,7H,JS,loss
8H,QS,TD,QD,7S,TH,win
KH,6D,9D,TS,TH,AS,win
JH,6H,AH,7H,KH,AC,win
7C,7S,9S,TH,9D,8S,win
8H,7S,QH,8C,JC,TD,loss
QD,KC,JD,8H,TD,QC,win
JC,AC,QH,JD,9S,TD,loss
9H,8D,7H,TS,QS,KD,loss
7H,7D,6D,QH,9S,TS,loss
QC,8D,8C,QH,6S,AD,win
8S,QD,AH,6H,8D,QC,loss
9H,JC,9S,TH,KC,6C,win
AS,JS,JH,KS,6S,7D,win
JC,QC,TS,KC,8C,7S,loss
QC,AC,7H,JH,6C,7D,win
8C,KC,KS,QD,QH,JC,win
KD,QC,9S,7S,6D,QS,win
JS,TH,6D,7C,QD,8H,win
8C,JH,KD,9C,JC,JD,win
JS,JH,9S,KC,7D,QS,win
AS,KC,JS,AD,QH,6D,win
8S,7C,8C,JD,AH,KS,loss
QD,AH,7H,9D,AS,8D,win
8S,AC,TC,8D,KD,QH,loss
AH,TH,KC,8H,7S,9C,win
8D,AC,7C,KC,JH,9S,win
KH,JD,TH,KD,8S,8H,win
7C,9S,9D,7S,TH,AD,loss
6H,KH,TS,KS,QS,JS,loss
TD,TC,8S,AS,QH,7C,win
JD,8D,7S,6D,8H,9D,win
6S,9S,JS,8D,7D,7C,loss
QC,AS,6S,6C,7D,AD,win
8S,KC,JH,QS,7C,AH,win
8S,KC,TH,AC,QH,9D,loss
JH,KC,6H,QD,AD,TD,win
6C,JC,AC,6H,JD,9S,loss
AH,AD,TH,JC,8D,QC,win
6H,QC,KC,8H,6S,9D,win
7S,AH,TH,JC,9C,9H,loss
JS,9C,6C,JH,8D,KD,win
9H,6C,8C,7C,TS,TD,loss
QH,KD,JC,TC,AS,JS,win
9S,7C,QS,JD,AD,6S,loss
KS,7S,AD,8D,KD,6H,loss
AS,JC,6C,KC,TD,JS,loss
TC,QH,6C,7C,AD,6H,win
AH,8D,AC,TC,9C,6D,win
8H,TD,9H,7D,AD,8S,win
TS,JD,TH,QC,7H,AC,loss
TS,7S,8C,JC,AD,8H,loss
TC,TH,8C,KH,6H,KD,win
7H,JD,TD,6C,9S,TH,win
TH,6S,TD,7S,TC,9D,win
6D,TS,KC,9C,QH,AC,win
KD,7D,TD,TH,9H,JC,loss
JC,9C,8D,9H,KD,AC,win
TC,7D,8D,9S,9D,KD,loss
TH,JC,7S,6D,9D,KC,loss
7D,QD,6C,QC,7S,6H,win
8C,6H,7D,TS,7H,JD,win
AH,TS,TC,KS,6H,AD,win
8H,7S,QH,TH,AC,KS,loss
8D,QS,9H,KS,6S,7S,loss
7S,6D,8D,AS,KS,7H,loss
TD,6S,9C,AS,AD,8H,loss
KH,TH,8H,6D,KC,7H,win
7H,QD,QC,8D,6D,TS,win
9S,8H,6S,7C,AS,6H,loss
AC,KD,KS,TS,7S,KC,win
6S,9D,8H,JC,AD,9C,loss
8C,AH,JS,TS,AD,8S,loss
JC,9S,8H,QD,QS,KD,win
9H,8S,QH,KD,AC,KC,win
KH,6S,6C,QH,9D,TD,loss
QS,KD,JH,TD,8C,7S,loss
9D,6H,6D,9C,7C,JD,win
8S,TC,QC,7D,QD,JD,win
KC,KH,QD,7D,6S,JS,win
7H,AC,TS,9S,7D,9D,loss
6C,JH,TC,KD,7H,JC,loss
8C,AD,7S,KH,JH,AH,loss
9C,AS,TH,6H,6S,AC,loss
KS,KD,8H,JS,7D,AS,loss
QH,6S,6D,KS,QD,TD,loss
TC,AH,KC,7S,9H,KS,loss
AS,QS,6S,KC,JC,QD,win
QH,6D,QD,KC,AH,KH,win
QH,7C,6D,KS,QS,JD,win
QH,TC,TS,TD,QD,7S,win
AS,KS,8S,TH,AH,JH,loss
JC,7S,9H,8S,JH,6H,loss
7H,QH,8H,9S,KC,QC,loss
QD,9C,QC,9H,8D,TD,win
6H,9H,QH,6D,AC,TS,loss
9H,7C,8S,8H,TS,TH,loss
AH,KS,9S,AS,TD,JC,loss
TD,JH,9S,6D,AC,9H,loss
6C,QD,JH,7C,7S,TC,loss
KC,TH,8C,7D,AS,AH,win
6C,QH,AC,8C,KH,KD,loss
JS,7C,8C,KH,8S,6S,loss
QS,7D,KS,7S,QH,9D,loss
7C,8C,AH,JS,AC,TD,loss
6H,QD,AC,9C,6S,JC,loss
