card1,card2,card3,card4,card5,result
9S,9H,TS,6D,7H,loss
AH,QH,QC,9D,JH,win
JH,QH,AD,JD,TD,loss
8H,QD,TH,JS,TS,loss
QD,7D,8H,KS,JC,loss
7C,8C,KH,9D,7S,loss
QS,AD,9C,7S,8S,loss
JC,9C,JD,7D,KD,win
TS,7C,AD,6D,8H,loss
8C,TD,6H,9S,9C,win
JC,6H,8C,TD,QS,loss
8D,8S,AH,QD,6S,loss
KD,TD,9C,7S,6D,loss
7H,AC,QH,QD,8C,win
7C,QD,TS,KC,6H,loss
TC,8H,AC,9C,6S,loss
9C,QC,8H,AH,AS,win
6C,9D,TS,AH,7S,win
7H,QC,AH,8D,TC,loss
9H,QC,TD,6H,QD,loss
6D,TC,QH,JS,JH,loss
6H,AS,QS,7D,8S,loss
9C,6H,KC,JC,KD,loss
TC,9S,AS,TS,JS,win
8D,7S,6S,TD,AH,loss
AS,8S,KD,AC,7H,win
TS,KC,TD,9D,6H,loss
AC,8C,8H,KS,6H,loss
TS,7S,7D,7C,QS,win
9S,TD,TS,KH,8H,loss
JH,JC,6C,9C,7H,loss
JH,JD,KC,TD,9C,loss
KD,9H,7D,6D,9D,win
JH,6H,8D,7D,AC,loss
JD,7D,6H,TH,QH,loss
TD,QD,7C,7H,JD,win
KH,QH,8S,TS,JD,loss
8S,QS,AC,6C,KH,win
TC,7C,JC,AD,JS,win
7C,AH,TC,JS,9H,loss
6S,QH,KC,6H,6C,win
KC,TC,AC,9S,TS,win
6D,KH,QS,JH,AC,loss
TC,6C,TS,TH,AH,win
7H,7C,8C,9H,KH,loss
AD,7C,7D,JH,TS,loss
6C,7H,8S,8D,7S,win
JD,JS,9C,7C,TD,loss
QH,8C,9D,QC,JS,win
9S,QD,KS,QS,JS,loss
9C,JD,QH,7C,KS,loss
9H,8H,6D,TH,KH,loss
6H,KH,JD,7H,TD,loss
7C,TD,8S,TH,KC,win
7S,AH,6H,9D,7H,win
6S,8S,JH,8C,6D,loss
7D,AS,7C,QS,AH,loss
8C,JH,KS,8S,9H,win
QD,AC,TH,9C,8C,win
8C,6C,8D,JD,JC,loss
6S,7H,QS,KH,QH,loss
QD,KC,KD,9H,6S,loss
AD,AS,8S,7H,QS,win
TD,TS,8S,8C,JS,win
6S,KD,6D,TH,KS,win
8S,AH,QH,9C,8C,loss
7D,AS,9H,TS,KD,win
8C,7H,KC,TH,TC,loss
AS,AD,TH,7C,AC,win
TC,9D,QD,TD,6D,win
KC,JD,QH,9H,9D,win
AH,JS,KS,QD,6S,win
AS,6H,6C,6S,8H,win
JH,QD,AC,KC,9D,loss
8H,9C,AS,TD,KS,loss
KS,JC,6S,7S,9H,loss
JH,JC,KC,6D,QC,win
8S,7C,6D,7H,7D,loss
JD,6D,6C,7S,7C,loss
JD,AS,9H,TS,QH,win
8H,9D,8C,TC,QC,loss
QD,6D,8H,8S,AS,win
AH,9S,8D,JC,8C,loss
TH,JS,AS,QS,KD,win
JH,JC,QS,9D,TH,win
KH,TC,QS,TS,AH,loss
JD,6H,8H,8D,7H,loss
JS,8H,TD,JC,AS,win
QH,7H,9D,AH,7S,loss
8S,KS,TD,JH,7D,win
KD,9D,9H,9S,QC,win
KC,7C,JC,9C,KS,win
KS,JD,AD,JC,KD,win
AC,AS,8D,TD,QD,loss
JH,AD,JC,9S,7H,win
KD,6D,TC,JC,QD,loss
6H,TD,7S,TC,8S,win
TH,6D,JS,TC,8S,win
AH,TD,7S,8D,KH,loss
TD,9D,AS,6S,QH,win
8S,TS,9C,8D,7S,win
QH,AH,TS,KD,TD,loss
KH,AS,9D,JC,TS,win
AD,JH,QH,TC,QS,win
JD,6H,TS,7D,9D,loss
JS,8C,6H,AC,8D,loss
JS,QH,7C,6S,KC,win
6C,7C,QD,TH,9D,loss
KH,JD,8C,7C,TH,loss
8D,TD,7D,AH,7S,win
8S,JH,JD,6C,7D,win
QC,6C,8H,9H,9S,loss
TC,8D,TS,AH,QS,win
KD,AH,9H,8H,KC,loss
JH,8C,AC,9C,9D,win
AC,AS,6H,6C,AD,win
KS,9C,KD,9D,AS,win
6S,TH,JH,JC,JD,loss
7D,KS,AH,TS,8C,loss
6H,9H,AC,KH,QS,loss
KC,9H,KH,AC,TH,win
8C,7C,QC,8D,6C,loss
KH,8C,8D,KD,8S,win
8H,8S,7S,AS,TD,win
7H,8H,KS,QS,AC,loss
7S,6C,KC,6D,QH,win
AH,9S,AD,KH,8H,win
7C,JC,QH,TC,TD,loss
TD,7D,JS,QC,TS,loss
TD,KS,8H,TS,KD,win
JC,TS,TH,KH,TC,win
8S,7H,9D,AS,JD,win
JH,KC,AH,AD,7D,loss
6C,9S,TD,AC,TS,loss
JS,8C,JD,TH,9D,loss
QH,7S,7H,TS,AD,loss
QS,AH,8S,JD,QD,loss
8C,QC,JS,QD,TC,win
6C,TH,8H,JD,8D,win
AD,KH,6C,AS,TD,win
9S,TD,AD,JD,8H,win
6H,8C,TD,JC,7D,loss
KS,TH,TC,9D,9H,win
TD,8S,QH,8H,9H,loss
8S,AC,AD,TC,9S,loss
KC,8D,AD,TH,7C,win
QD,AD,AC,9S,KD,win
7H,9S,6D,QS,7S,win
AD,7D,9H,8D,7H,loss
QS,KH,6S,6H,9S,win
8S,9D,9C,AD,KD,loss
8S,TH,6D,TS,AS,win
7H,KD,AC,JC,9S,loss
KH,6C,QD,8D,8C,loss
KS,8S,JH,QS,9D,loss
7S,7H,TS,7C,6S,win
7D,KC,JH,6S,AS,loss
6H,6S,TC,QS,JS,loss
KD,JS,TH,TC,7S,loss
AC,6S,TC,7H,JC,win
AC,7S,7C,9C,JC,win
JS,AC,8S,TC,7C,loss
AD,AS,TS,6S,6H,win
6C,QS,TD,TC,KC,win
7H,9S,TH,AD,JD,loss
TH,JD,7C,QH,KC,win
QD,JH,KC,JC,KH,win
QH,7S,AD,8S,8H,loss
8D,7D,JS,8H,JH,loss
KD,7H,AC,9D,QH,loss
TH,6D,KC,8C,8D,loss
7H,7C,8D,JC,KH,loss
TH,9C,6D,7C,QS,win
6D,QC,6S,8H,QS,win
AC,TH,9S,QH,AS,win
AD,8D,KS,7H,6D,win
JD,AS,QD,JC,JH,win
KD,JS,KC,6D,8S,win
JS,JH,TH,QH,KD,win
QC,6S,6C,QS,KH,win
QS,JS,KH,KD,AS,loss
6D,AH,6H,9S,6S,loss
8H,QH,9C,6C,8C,loss
9S,8D,6D,6H,KH,loss
AH,8D,JH,6D,QD,win
JC,6C,KH,KS,8C,loss
AS,TD,TH,9H,JS,loss
9S,TC,JS,JD,KC,loss
6S,TS,TD,AD,8C,loss
6C,TD,8S,QH,8D,loss
JH,TC,8S,6C,KH,loss
QC,8D,AH,AC,KD,loss
8H,QD,AH,JH,KH,win
JH,9D,TC,8S,JS,win
6D,9H,JC,7C,JH,loss
7H,9H,TC,KD,7S,loss
KC,TC,7C,TH,QC,win
8S,6C,JD,9C,TC,loss
QC,6H,7H,KH,8S,loss
AS,QH,KH,8H,9S,win
7C,TC,QH,AH,JD,win
KC,TS,KS,KD,6D,win
9H,JS,QC,6D,QH,loss
8S,6H,KS,8D,JC,loss
KH,TH,7C,6C,JD,loss
8S,AC,8H,KC,QS,loss
AH,9S,6C,TH,AS,win
JD,QC,AD,8C,9D,loss
QS,JC,9C,9D,AS,win
8H,6C,QC,9H,JH,loss
KD,QC,7H,TC,9D,loss
6C,KC,AS,7S,QS,win
KD,AC,AS,9D,8D,win
QC,9H,AS,JC,TD,win
QC,QH,7H,9S,9H,loss
9S,6S,6H,QH,8H,win
QH,9D,KH,7C,9S,win
TS,JD,7H,QH,7D,win
QC,JD,TH,KH,JS,win
6C,AH,7S,QC,QH,loss
9C,QC,7C,8H,AS,loss
TD,6H,8S,AC,AS,loss
9H,QD,QH,AD,6C,loss
KD,QD,AD,7C,KH,loss
QS,KC,QD,9D,QH,win
JC,7H,AS,7C,JH,win
9H,9S,AH,8S,JD,loss
JH,AH,6S,8H,QH,loss
JS,9S,8D,AH,JH,loss
JH,JS,KH,6H,TH,loss
7S,6H,AH,TC,QD,loss
AH,6C,6D,TC,9D,loss
8H,QD,6H,TC,AH,win
9S,AC,JS,JD,6S,win
QD,7D,KD,7H,6S,win
7H,6D,6S,JH,QD,win
8D,TH,AH,8C,QD,win
8D,QS,TC,9C,9D,win
6C,QH,6S,TC,AS,win
TS,JC,7C,9S,8S,win
KD,KC,AH,TH,JS,loss
8H,TC,KH,JD,6D,win
AC,9H,8D,7H,TS,loss
TC,8S,8D,JS,7S,loss
6C,6D,6S,9S,7H,win
QD,JD,6C,AS,7S,win
TD,AD,QD,KS,TH,win
TD,QC,7C,QD,JC,win
JH,KD,6H,TD,7D,loss
KD,TH,AC,QH,6S,win
TH,AH,QH,KH,KS,loss
8S,6C,KS,TH,AH,loss
7H,8H,QD,QS,QC,loss
7C,TS,JD,JS,AS,loss
TH,8H,8D,AD,9C,win
8H,8S,7S,9C,AC,loss
JD,8C,AD,6C,TC,loss
9D,7C,JH,KD,8H,loss
7S,8H,KD,QH,7D,win
KD,7S,9H,JH,TD,loss
7S,QS,JC,7H,AS,loss
JD,6H,AC,7C,8D,loss
TC,7H,KD,TD,8H,win
7H,KH,6S,TH,8H,win
JH,TC,QC,8H,JS,loss
AC,JH,9D,8D,KD,loss
6D,9D,8C,7H,8D,loss
8D,JD,6H,JH,9D,win
AH,TS,7C,8D,7H,loss
AH,8S,9D,JH,9H,win
TD,9D,7S,AD,TC,win
9D,AC,QD,QH,7S,loss
KS,JH,6H,7H,6D,loss
KH,9D,KD,8H,TC,loss
9C,TS,JS,9H,KC,win
7D,9C,9S,QH,KH,loss
KS,JC,7D,QC,QD,loss
QS,9C,AD,9S,6H,win
8C,QS,QH,AD,6D,win
KC,QS,AS,AH,KH,win
6D,JH,8D,QH,6C,loss
AH,7C,KH,9D,KC,loss
TH,8S,7H,QD,6S,loss
7D,TD,TC,KH,AC,win
8H,QC,AC,TS,9H,win
9S,KS,JH,9H,8D,loss
TC,AC,KH,9S,8S,loss
TS,9S,8C,KS,8S,win
QD,9S,JS,6S,QH,win
9S,8C,9C,TS,7D,loss
KH,8C,8S,7D,AS,win
7H,TC,JD,7D,TD,loss
AH,6C,8D,QC,6S,win
6C,AC,KH,KC,7C,win
7C,QD,6D,JD,7S,loss
JS,JD,KH,AD,8D,win
KD,8H,8C,TH,7D,win
AD,TS,QH,6H,KD,loss
QH,9S,KD,8D,9H,win
QH,6C,7D,KC,AC,win
AH,KS,6D,9H,KC,loss
KC,QD,8D,7C,8C,loss
6H,JD,8D,JH,7H,win
9C,KH,6C,9D,AS,win
6S,9D,JC,AH,7C,loss
KH,8H,7D,TH,8S,loss
TC,AS,7H,9H,6H,loss
KC,6C,9C,JH,KS,win
7C,AS,TH,KC,QC,loss
QS,9C,QC,KS,6H,loss
AS,8H,AD,KD,6C,loss
6C,TC,JD,TH,7H,win
QS,TH,QC,KH,9C,loss
8S,JC,AD,TH,JS,win
6C,JH,TS,KC,KD,win
8H,TC,JH,7H,KH,win
7H,QD,7C,KD,KH,loss
AH,7S,7D,QH,JD,loss
6C,9H,KC,QD,JS,loss
AH,7C,JC,AD,QD,win
KC,JD,TC,7C,KS,win
KC,TH,TC,TD,9S,win
JD,TD,TS,8S,TH,win
9S,TD,TC,AS,KH,loss
6H,KC,KH,QH,9H,win
9H,6H,TD,QD,8H,win
8C,TC,9D,QH,8D,loss
7H,7C,AC,9H,7S,win
TD,7C,9S,6H,KC,win
JD,JC,8C,7S,QC,loss
QD,KD,8D,6S,8C,loss
9C,JD,AC,8S,AD,loss
9S,QC,QD,JS,AS,loss
QH,9C,QS,KD,KH,loss
KH,6H,AC,8S,6S,loss
QD,7H,JH,TC,JD,loss
KH,9D,QS,JS,TS,loss
QH,TS,JD,9C,7S,loss
JS,TC,KH,AS,6S,win
KH,7H,AD,TC,QC,loss
KH,KS,AC,JS,6H,win
6S,QD,QH,KH,TH,win
6C,QH,KH,AS,9S,win
8S,7D,8H,AC,QH,loss
TD,JS,6H,QC,AH,win
9D,QC,AD,7S,8C,loss
JH,6C,8S,QS,8D,win
KH,TC,7H,7S,KS,loss
KC,8C,JD,TD,KS,win
8H,AH,KD,QH,9S,win
QH,9C,6H,7D,AH,win
QH,AH,JH,JD,QD,win
JC,QD,QH,7H,TS,win
AS,QC,KH,7S,TH,win
7D,7S,TH,9S,8C,loss
6H,6S,7H,8H,6D,win
8H,JS,TS,9S,QC,win
7D,QS,JS,8C,KS,loss
TH,8C,9S,8S,TS,loss
7H,7S,QH,8S,8H,win
6S,JH,9D,KD,TS,loss
7H,KD,9D,6C,8D,loss
7H,AD,JC,7C,6C,win
7S,9H,KH,7C,KC,win
AD,7S,TC,8S,6C,loss
AS,9S,AC,TS,KS,win
6S,KC,6D,7C,8C,win
KD,7S,KS,TD,JH,win
QD,6C,6S,8C,7D,win
8H,QS,JC,8D,7C,win
7H,JS,8H,QS,8D,loss
QD,QS,6C,TH,TD,win
JC,9S,TH,7H,JS,win
7D,9D,8H,TC,8D,win
QD,KD,AH,6C,KC,win
6H,AD,7D,QD,7C,loss
6C,QH,TC,7D,AH,loss
8D,JH,9H,JS,AS,win
AH,KC,QC,AD,7S,win
TH,JD,QC,6C,JC,win
KD,9C,6D,JC,9H,loss
AS,8D,9D,9C,AH,loss
AH,QC,TS,7C,TC,win
6S,7S,AC,KS,8D,loss
8H,9S,KH,TS,6C,loss
AC,AS,JC,9S,7C,loss
6H,JH,AH,JC,9S,loss
8D,6S,AD,QH,KS,win
KH,QS,JS,AD,QC,win
8C,6C,TD,JD,TH,loss
AH,9H,KH,6C,7H,win
QC,7C,9D,8D,AC,loss
9D,6H,7C,TD,JS,win
QS,8C,JH,6D,JS,loss
QS,8H,AH,8D,KH,loss
8C,8D,7D,JD,QH,win
6H,QS,8S,JH,9D,win
7H,TS,KC,9C,8D,loss
QC,8H,8D,6S,TS,win
7S,JD,7D,KH,QC,loss
9S,TS,6H,AH,9H,win
9C,KD,JS,AC,TC,loss
QS,9C,KH,JC,KS,win
7C,KC,9D,JC,8C,loss
AH,9S,6H,AC,KS,win
KD,AC,JD,QC,7C,loss
KS,KD,JC,QD,8H,win
KH,KS,6H,JD,8D,win
JH,7D,9H,AC,AS,loss
9S,AS,QC,KS,7S,loss
8H,QD,8D,AS,6D,win
AS,AC,QS,8C,9D,loss
TH,6H,KD,8D,9H,win
AD,JS,8H,KC,9D,loss
8S,9H,QC,AD,KH,win
8S,6C,6S,TD,6D,win
6C,6H,7C,KD,9D,loss
TC,7D,TS,6S,QH,win
JS,JD,KC,7S,7D,loss
8H,KD,AC,KC,TS,win
JS,7S,8S,JH,QC,loss
QC,QS,9H,KD,AS,loss
7C,6S,AH,7H,KD,loss
AH,8H,7C,6C,QC,win
JS,6C,AS,6H,9S,loss
JS,JC,8D,QC,AH,win
TS,QC,9S,9H,7D,win
8C,8S,TD,TC,QH,loss
QS,TS,7C,JD,KS,win
6S,8H,JH,TH,AC,win
QH,QD,TC,8H,AH,win
JC,7H,TS,8D,TC,loss
8H,9C,8C,6D,QS,win
JH,KH,QS,AS,8H,win
6D,JD,6S,TD,AS,loss
9H,AS,JD,TD,6S,loss
KH,6D,9D,8C,TS,loss
JH,8C,JC,QS,7S,win
QC,9S,8C,9D,JC,loss
9S,AS,8S,AD,AC,win
9H,KC,8S,JC,QC,loss
6H,KC,QH,QS,6S,loss
JS,9S,9C,AC,8C,win
TC,9D,9H,9C,JH,win
6C,7H,KC,7D,QH,win
TD,7D,8S,JS,TC,win
QS,TS,KD,JS,QD,win
6S,AH,TS,AS,JH,win
AC,QD,AD,TC,TH,loss
8D,8C,7H,6D,KD,win
6D,QH,AS,9S,AC,loss
9S,QS,JC,6H,7C,loss
8D,9D,QC,9H,QS,loss
QS,TH,8D,KS,7S,loss
9S,AC,9D,KS,7C,win
8D,7H,QS,QC,7S,win
6H,KH,7C,JS,JH,loss
7H,KS,7S,JS,JD,loss
7D,AH,9S,JS,JD,loss
JC,9D,TS,6S,9H,loss
JH,AH,AS,6D,9D,loss
AC,AS,JC,KD,9H,loss
JS,KH,9S,7D,9H,win
AH,TH,JS,JH,TS,win
AC,8D,TC,JC,TH,loss
9H,JH,7D,QH,6C,win
TH,7C,7H,9C,6H,loss
8C,7H,KC,AC,7D,win
6C,QS,8H,JC,AD,loss
6S,7D,KS,JH,TH,win
TD,KS,7S,8C,7D,win
KS,QH,7C,7S,7H,win
QC,6D,AS,8D,9H,loss
7S,7H,KC,7C,7D,win
7S,QC,6C,KD,6H,loss
8S,QC,9D,TC,7S,win
KS,7C,AS,7S,JC,win
7S,AD,AS,9C,QC,win
7D,TD,QC,QH,TS,win
9S,7C,QC,7S,TS,win
JS,AH,KD,KC,9C,win
6C,6S,KS,KH,6D,win
6S,QH,9C,6D,TC,loss
7C,9C,8C,JD,9H,win
KS,7D,8C,7C,6C,win
AH,TS,6D,QH,9C,loss
8H,AC,8C,8S,7D,win
AS,AH,AC,TD,6C,win
9D,7S,6C,9S,7C,win
QD,QC,6D,JD,TD,win
KD,7C,TH,6S,QS,loss
9C,9D,KS,7S,9S,win
7C,6C,TC,KH,TS,loss
6H,TC,KS,KD,AS,win
7S,JD,QH,9D,KC,win
JH,8H,9S,TH,AS,win
9D,JH,7C,9H,KH,loss
7H,JD,TC,KC,6D,loss
JC,7S,6D,9S,7C,win
7C,6S,JH,JC,AS,loss
KC,7S,TD,QS,9C,loss
TS,9S,JC,8C,QS,win
7C,QC,AH,9C,JS,loss
8D,6D,8C,QH,7D,win
AD,TH,7D,9C,8H,loss
9H,9D,TS,9C,QH,win
QC,JH,TD,KC,TC,loss
AD,AC,7S,TC,6D,win
6D,QH,7H,KC,KD,loss
6C,9C,JC,TD,8H,loss
8S,9S,TS,7C,7H,loss
QC,TC,QS,8S,7D,loss
8C,AH,TD,9S,7H,win
JH,9D,AD,8D,JD,loss
6C,AH,6S,KD,8D,loss
AH,JS,KC,QH,TH,win
8S,9C,9H,8D,8H,win
KS,9C,AC,TD,9H,loss
KD,KS,AH,KH,QS,win
9S,QC,JC,TS,JS,loss
TD,AD,JH,6D,6C,loss
TH,8H,6C,KD,KC,loss
KD,6S,TH,9S,6H,loss
9H,9D,8D,QH,8C,win
QD,QC,JS,7H,KH,win
9H,9D,TS,AC,6S,loss
TH,KC,6H,KD,9C,win
KS,6C,6H,JS,9D,win
KD,7S,KC,AD,QH,win
TH,AH,TC,8D,AS,loss
KH,6C,7S,TC,JD,loss
7H,KH,KC,KD,JH,win
6H,8D,TC,QD,KC,loss
AC,6S,AD,7C,TH,win
AH,6C,9D,TH,QC,win
QS,AC,7S,6H,JS,win
6C,QH,9D,TC,8D,loss
7S,JC,7H,9C,7C,win
7H,6H,KH,AD,TC,loss
8S,KS,6D,6H,AC,win
7D,TS,9D,7C,KC,loss
9D,6H,TS,7C,7S,win
TH,9S,QD,8D,AS,win
AC,QD,7D,8D,AD,loss
7C,8D,9S,JD,7D,win
QC,9H,AH,QS,6H,loss
8C,QH,AC,8S,JD,win
6D,KD,AS,KC,8C,win
KH,9C,QS,9S,JC,loss
AD,AH,7S,8H,JH,loss
7H,AC,TC,JH,KH,win
8S,AD,KD,7H,9C,loss
AD,TS,AH,6S,9H,loss
9H,6C,7C,JD,TC,loss
AC,6D,7S,AD,JH,loss
QS,TD,AD,AS,7D,loss
QS,6H,TH,AS,8H,loss
7C,QC,TD,8H,AD,win
AC,AH,QS,6H,AD,win
JC,9S,TH,AS,QC,loss
6C,6D,7H,QC,JS,loss
9S,9H,6D,KD,JS,win
JD,KD,JC,TD,6H,loss
TC,7C,9S,9H,8S,win
8D,9C,7C,JC,TD,win
QH,9C,JD,TH,7S,loss
KH,6D,AD,9C,KD,win
KD,8C,AD,7D,6S,loss
9C,TC,KH,9S,AS,win
JS,TH,QD,TD,KS,loss
JS,QC,QD,6D,9C,loss
9H,8C,7C,6C,7H,win
AS,6H,AC,TH,AH,win
QS,QH,8S,7H,6D,win
QD,AS,8H,8D,9D,win
6C,JH,9D,QC,KD,loss
7H,7S,JC,QC,KC,loss
8C,7D,6S,QC,9D,win
AH,7D,TS,8D,7C,loss
TH,6D,AC,TS,9C,win
7C,9S,9H,QH,6D,win
QS,AC,8S,AH,AD,win
TS,8H,JD,KD,AC,win
QH,TS,9H,JC,6S,win
9S,JD,8D,AC,7D,win
AD,6S,KH,8D,TD,loss
KH,KD,7C,JH,AD,win
KD,QS,7S,9S,QC,loss
7H,TH,6H,KS,6C,loss
6H,TS,9S,KS,QC,win
7D,9D,8D,7H,QC,loss
7H,7C,7S,AS,JD,win
9D,KS,KC,8D,JH,win
JH,KD,9S,6S,8S,loss
9C,7D,8H,9S,JD,loss
AS,8H,JD,7S,9S,win
7C,AH,TD,AD,8D,loss
6D,6C,JS,KH,AC,loss
QH,TS,JD,7H,6S,win
9C,JS,TC,JH,AH,loss
7D,AS,TD,QS,JH,loss
7S,8H,JH,JC,6S,loss
KH,JC,TD,TH,7C,win
7D,9S,6D,TD,QC,loss
QH,6H,6C,7C,9D,win
8D,7C,KS,JD,JH,win
8H,7H,JS,TC,AH,loss
9D,7D,QD,JS,8H,win
6C,6S,8S,QC,JC,win
AS,7C,6H,8S,TH,loss
JS,8S,8D,6D,7S,win
8C,7H,7C,KC,KD,win
AC,9D,8C,QD,8H,loss
TC,9C,AD,TD,KH,loss
KC,6H,TD,9H,QH,loss
TS,KS,6C,8H,6S,loss
KH,8C,9S,6H,7C,loss
JH,TD,9C,AH,9D,loss
AS,AD,QH,KH,QC,win
QC,8H,JD,7D,8C,loss
AD,6C,JH,8S,9C,loss
TD,KC,9H,JC,JD,loss
7C,9C,KH,TC,AS,loss
9D,7D,7S,8C,QS,win
JD,6D,8C,KC,QC,loss
6S,9H,TD,AH,7H,loss
AD,9D,AC,6S,TD,win
QH,9H,QD,QC,TD,win
9S,AD,7S,9H,QH,loss
AS,8S,8C,6D,QC,loss
KC,6C,TC,8H,TS,loss
6C,AD,TD,7S,6D,loss
TD,KH,8S,TS,8C,loss
QD,9D,8S,JH,KD,loss
KD,8C,6D,KC,6C,loss
KH,QS,TC,TH,9H,loss
TC,8H,JD,6H,KC,loss
9H,JH,8H,JS,QS,win
7S,7H,8D,6H,JC,loss
7H,6S,TS,7S,KH,loss
8C,KC,QH,KS,JH,loss
JD,JH,QD,AH,6S,loss
JC,TD,8C,AS,9D,win
AH,7C,TS,TD,8H,loss
TD,AD,6D,JH,QD,win
AC,6S,7C,TC,KS,win
JD,JH,9C,QS,9D,win
KH,7C,7H,8C,QH,win
JS,AC,9S,AS,KH,loss
8C,8S,7S,TC,JH,loss
8H,JH,TD,JD,8D,win
KC,JD,JH,AH,TC,win
AD,6H,8C,KD,8H,loss
QC,QD,9D,7C,8D,win
JD,KC,KD,9S,TH,loss
8H,9D,QH,6D,KC,loss
7S,QC,8S,6S,9C,win
AC,KH,AS,8H,7H,loss
9S,6D,QC,7S,9H,loss
6C,AC,JH,8D,JS,win
TS,TC,AD,6D,9D,win
KH,JS,KD,8C,7C,win
9H,6S,AS,JC,AH,loss
9S,QS,JS,AD,AH,loss
6D,9S,7C,8S,TS,loss
KH,QH,JD,6H,6S,win
JS,QC,7C,KH,AS,loss
8H,KS,9S,AD,6S,loss
KC,TS,8C,QH,AC,loss
QD,KD,8D,9H,TS,loss
6S,KC,AC,6D,QH,loss
AD,9D,9C,AC,TD,win
7C,7H,7S,AD,8S,win
8H,7D,6C,AC,9C,loss
JC,7S,JH,TH,7H,win
9D,JH,KC,9S,AD,win
KS,AD,TD,6H,KD,win
6S,AS,AD,7D,QD,loss
KH,7S,TD,8S,7H,loss
7D,7S,KH,7C,TH,win
QC,7C,QD,KC,TC,win
6D,QH,8D,QS,7H,win
TS,KC,AS,JD,JS,loss
TD,6H,6C,8D,7C,loss
8S,JC,6S,7H,QD,loss
AC,8C,JD,TS,AD,win
8D,QC,QH,8S,7H,win
6H,8D,9C,KC,TS,loss
8H,QD,JS,KH,9C,loss
6S,7H,8D,QH,JH,loss
AS,KS,QD,9C,JS,loss
6D,AD,KC,6C,AC,win
JD,TC,AC,JS,KC,win
7D,JC,QH,6H,AS,loss
KS,TS,JH,QS,7S,loss
JS,KS,6D,QD,TS,win
7S,JH,8D,TC,AC,win
JS,9C,QC,QS,9D,loss
6S,8S,QD,AD,6C,win
TH,8D,TC,9S,6C,win
6D,KC,JH,8C,AD,loss
QS,6C,AS,6D,AD,loss
AC,TH,8S,JC,JH,loss
8S,6D,TS,9H,7S,loss
KC,9D,QS,9H,9C,win
8S,AS,TS,JD,8D,loss
6H,9H,6C,AD,9S,win
JD,AC,7S,6H,JC,win
6H,8C,JC,7H,7D,loss
AS,TH,QC,KH,8D,loss
6S,7S,8C,TH,QS,loss
7C,9H,7H,9C,JC,loss
9C,9D,7H,QD,QC,win
AS,7S,JC,7C,QS,loss
AH,6S,AS,JD,JH,win
TH,7H,9C,8D,AC,loss
JC,6D,TC,QC,AC,loss
TH,7C,JH,AC,AS,loss
AH,AC,JD,QS,JS,loss
7H,9D,QH,JS,KC,win
AH,9C,AC,9D,8C,win
KD,JD,7H,TC,6D,loss
QS,9S,TC,JH,7S,win
AH,TH,KC,9D,8C,loss
TC,8C,9H,AH,8H,win
QC,6C,AH,7D,JH,loss
6C,QS,QC,KC,7S,win
6D,KH,AC,7C,AH,loss
8C,JH,6D,7S,JC,win
9S,8D,7H,JH,8C,win
KC,7H,7S,9C,9S,win
6D,9C,8H,TC,AC,loss
AD,7H,JD,AS,8H,loss
8C,8S,AD,KC,JH,win
6H,TH,AS,QC,TS,win
JD,KD,JH,6H,8D,loss
7C,KC,TC,KD,QS,loss
QH,TC,9H,8C,7S,loss
9H,7D,KD,JH,6C,loss
AD,TC,7H,8H,9D,win
6S,AS,JC,QH,JS,loss
JH,JS,8C,JD,QS,win
JC,JD,8C,8D,7D,loss
6H,JC,KC,KH,QD,loss
8H,JS,QD,KS,6C,loss
7H,7D,QS,TS,8H,win
6S,7H,8H,7S,TS,win
6S,KH,AC,KC,JS,win
JD,7H,KH,JS,JC,win
TD,QH,9S,7H,AD,loss
7H,6S,6C,TD,AS,loss
9H,AH,TD,9S,AD,win
TD,JH,7H,KC,6D,loss
9H,QC,AS,KH,8D,win
AH,QD,7H,9C,KH,win
AH,KH,7D,JD,7H,loss
9C,TD,JH,QC,TC,win
QC,TH,TS,6D,TC,win
9C,6D,9D,7H,8D,loss
KC,TS,KH,QC,8H,loss
6C,KD,9D,6S,AD,loss
KH,QS,AC,9C,KD,win
JD,8D,8C,KH,7C,loss
TS,7D,KS,7S,KH,loss
JS,7S,KS,AS,TS,win
6H,JH,TH,8D,QD,win
8C,KD,7S,7H,JD,loss
QC,AH,JC,7D,AD,win
AH,QS,JS,9H,QC,win
KC,AH,QC,6H,7D,loss
JS,6S,8D,JD,9S,win
6S,6D,9C,TH,JS,win
JS,QH,TH,7D,JC,loss
JC,TC,9S,6D,KH,win
6D,AC,9H,6C,6H,win
KC,8S,7C,6C,AC,win
9S,KD,KS,7S,AS,win
7S,8S,KC,9C,TC,win
TH,7S,9S,QC,8S,win
KD,9C,8S,AD,AH,loss
AD,QH,KD,9H,KH,loss
KC,7C,AD,7S,QS,win
7H,7S,8H,6S,7D,win
AS,TD,6D,JS,JH,loss
6H,QD,7S,6S,9S,loss
8C,7H,6D,6C,TC,loss
8H,9D,8S,QH,TS,win
JS,QD,9H,6S,6H,win
6H,JS,KH,8S,8C,win
AH,7D,TC,8H,6S,loss
6C,KS,JH,8D,KH,win
7H,QD,6S,TS,9D,loss
6C,AC,QH,JS,JD,loss
JS,7H,JC,QS,AS,loss
7C,TC,KS,9H,QD,loss
QH,6C,KH,TS,AC,win
QD,6C,KS,KD,6S,win
6S,QD,KS,KH,AC,loss
